accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,elapsed_s,news_variant
0.5222772277227723,0.5474048442906574,0.5888702773124884,0.5673809737290415,0.0357566984068852,0.001189102535136,0.0344833660644671,0.0234534684568643,-4.5180320739746094e-05,0.527920792079208,-0.0509744345283623,0.9906273,-99.92571,-99.97893,A3,concat,0,42,"[""price"", ""news""]",23116,6372,10100,14243,0.0235395065997472,56,1,0.005,64,30,1.0,64,0.0001,0.5,225.92506313323975,mean_10d
0.5072652570397835,0.5156601228832609,0.6712836519703472,0.5832697686244597,0.005632138651805,0.0005639242590405,0.0237470894856718,0.0182391237467527,-0.0115531682968139,0.5149814610682433,0.0110392935211807,1.0018018,-93.04069,-97.61574,A3,concat,2,42,"[""price"", ""news""]",38468,10972,9979,14243,0.0447356556916504,116,1,0.005,64,30,1.0,64,0.0001,0.5,773.094083070755,mean_10d
0.4957908728400532,0.5252692626346314,0.5287739783152627,0.5270157938487116,-0.0128199480070594,0.0003645064716693,0.0190920525787381,0.0149453952908515,-0.0034331083297729,0.5265839610101906,0.5145237801899707,1.0860344,615.58435,-39.86757,A3,concat,4,42,"[""price"", ""news""]",54070,15339,4514,14243,0.0126099395678227,89,1,0.005,64,30,1.0,64,0.0001,0.5,845.0846521854401,mean_10d
0.5246534653465347,0.5518867924528302,0.5661641541038526,0.5589343132751493,0.0437280409069317,0.0011896213982254,0.0344908886262071,0.0234581008553504,-0.0004816055297851,0.5253465346534654,0.016383879071038,1.0030313,-99.68816,-99.97184,A3,concat,0,42,"[""price"", ""news""]",23116,6372,10100,14243,0.0255695087475184,42,1,0.005,64,30,1.0,64,0.0001,0.5,197.8000099658966,recency_10d
0.508267361459064,0.5155341183146546,0.7089348419820523,0.5969609856262834,0.0057578246270925,0.0005638300790451,0.0237451064231168,0.0182225257158279,-0.0113841295242309,0.512175568694258,-0.1839763246175579,0.97044575,-99.6225,-99.888084,A3,concat,2,42,"[""price"", ""news""]",38468,10972,9979,14243,0.0300588555541015,64,1,0.005,64,30,1.0,64,0.0001,0.5,495.72708201408386,recency_10d
0.4988923349579087,0.5287162162162162,0.5221017514595496,0.5253881661770877,-0.0053045063602359,0.0003644924727268,0.0190916859582084,0.014932264573872,-0.003394603729248,0.5294638901196278,0.5580917745438461,1.0936514,805.57745,-46.1477,A3,concat,4,42,"[""price"", ""news""]",54070,15339,4514,14243,0.0150950635230752,90,1,0.005,64,30,1.0,64,0.0001,0.5,1009.88178730011,recency_10d
0.5234653465346535,0.5485436893203883,0.5888702773124884,0.5679921012476439,0.0383036745009225,0.0011896901996806,0.0344918859977332,0.0234482605010271,-0.0005394220352172,0.5295049504950495,0.041182202129043,1.0076369,-99.461006,-99.86928,A3,concat,0,42,"[""price"", ""news""]",23116,6372,10100,14243,0.0227717263651192,54,1,0.005,64,30,1.0,64,0.0001,0.5,269.4550290107727,max_impact_10d
0.5075658883655677,0.5163177339901478,0.6543113538821693,0.5771812080536913,0.0072107371294123,0.0005641214665956,0.0237512413695722,0.018280766904354,-0.0119069814682006,0.5147810401843872,0.2013594681391056,1.0333793,25.03624,-88.87348,A3,concat,2,42,"[""price"", ""news""]",38468,10972,9979,14243,0.0505605048257744,127,1,0.005,64,30,1.0,64,0.0001,0.5,965.1539640426636,max_impact_10d
0.4971200708905627,0.5277056277056277,0.5083402835696413,0.5178419711129991,-0.007243005281485,0.0003648590645752,0.0191012843697821,0.0149323595687747,-0.0044038295745849,0.527027027027027,0.5382274283978468,1.090172,713.6632,-39.891224,A3,concat,4,42,"[""price"", ""news""]",54070,15339,4514,14243,0.0161010585524848,86,1,0.005,64,30,1.0,64,0.0001,0.5,903.520361185074,max_impact_10d
0.5261386138613862,0.5543619188738655,0.5570444816675972,0.5556999628666914,0.0480701154730933,0.0011865525739267,0.0344463724349422,0.0233850460499525,0.0020992755889892,0.5363366336633664,0.4603015777283696,1.0887728,5562.3096,-97.74909,A3,concat,0,42,"[""price"", ""news""]",23116,6372,10100,15715,0.0207106118975637,50,1,0.005,64,30,1.0,64,0.0001,0.5,227.97147512435913,pca32_mean
